"","id","program_number","program_title","popular_name","objectives","website_address"
"15",15,"10.090","Supplemental Revenue Assistance Program","(SURE)

","The objective of the SURE program is to provide financial assistance for farm revenue losses due to natural disaster.  Assistance is provided from the Agricultural Disaster Relief Trust Fund (Trust Fund) established under Public Law 110-246. The Secretary of Agriculture (henceforth the Secretary) has the authority to use the Trust Fund  to make crop disaster assistance payments to eligible producers on farms in disaster counties whose actual production is less than 50 percent of their normal production.  A disaster county  means a county included in the geographic area covered by a qualifying natural disaster declaration by the Secretary.  SURE is the 2008 Farm Bill's successor to the prior Crop Disaster Programs.  SURE is legislated through fiscal year 2011.","http://www.fsa.gov"
"16",16,"10.093","Voluntary Public Access and Habitat Incentive Program","(VPA-HIP)","The primary objective of the VPA-HIP is to encourage owners and operators of privately-held farm, ranch, and forest land to voluntarily make that land available for access by the public for wildlife-dependent recreation, including hunting or fishing, under programs implemented by state or tribal governments.","http://www.nrcs.usda.gov/wps/portal/nrcs/detail/national/programs/farmbill/?cid=stelprdb1242739"
"17",17,"10.099","Conservation Loans ","","Conservation Loan (CL) program is to provide access to credit for farmers who need and want to implement conservation measures on their land but do not have the \x93up front\x94 funds available to implement these practices. Unlike FSA\x92s traditional farm ownership and operating loan programs that are targeted toward smaller and less financially established farmers, eligibility requirements for the CL program are expanded to permit FSA to provide assistance to some applicants who may be large and financially strong.","http://www.fsa.usda.gov/programs-and-services/farm-loan-programs/index"
"18",18,"10.102","Emergency Forest Restoration Program ","(EFRP)","The object of EFRP is to make financial assistance available to eligible participants on eligible land for certain practices to restore nonindustrial private forest land that has been damaged by a natural disaster.  The financial assistance  will be cost share payments to assist an EFRP participant to establish practices required to address qualifying damage suffered in connection with a qualifying disaster.","http://www.fsa.usda.gov/programs-and-services/disaster-assistance-program/emergency-forest-restoration/index"
"19",19,"10.105","Disaster Relief Appropriations Act, Emergency Conservation Program","Disaster Relief Appropriations Act, ECP","To enable farmers to perform emergency conservation measures to control wind erosion on farmlands, to rehabilitate farmlands damaged by wind erosion, floods, hurricanes, or other natural disasters.","http://www.fsa.usda.gov/programs-and-services/conservation-programs/emergency-conservation/index"
"20",20,"10.106","Disaster Relief Appropriations Act, Emergency Forest Restoration Program","Disaster Relief Appropriations Act, EFRP","To provide financial assistance to eligible participants on eligible land for certain practices to restore nonindustrial private forest land that has been damaged by a natural disaster.  The financial assistance will be cost share payments to assist in EFRP participant to establish practices required to address qualifying damage suffered in connection with a qualifying disaster.","http://www.fsa.usda.gov/programs-and-services/disaster-assistance-program/emergency-forest-restoration/index"
"21",21,"10.108","Livestock Indemnity Program-2014 Farm Bill","(LIP)","LIP provides benefits to eligible livestock owners or livestock contract growers for livestock deaths in excess of normal mortality caused by adverse weather.  It also covers attacks by animals reintroduced into the wild by the federal government or protected by federal law, including wolves and avian predators.","http://www.fsa.usda.gov/programs-and-services/disaster-assistance-program/livestock-indemnity/index"
"22",22,"10.109","Livestock Forage Program-2014 Farm Bill","(LFP)","LFP provides compensation to eligible livestock producers that have suffered grazing losses for covered livestock on land that is native or improved pastureland with permanent vegetative cover or is planted specifically for grazing. It also provides compensation to eligible livestock producers that have suffered grazing losses on rangeland managed by a federal agency if the eligible livestock producer is prohibited by the federal agency from grazing the normal permitted livestock on the managed rangeland due to a qualifying fire.","http://www.fsa.usda.gov/programs-and-services/disaster-assistance-program/livestock-forage/index"
"23",23,"10.110","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program-2014 Farm Bill","(ELAP)","ELAP provides emergency assistance to eligible producers of livestock, honeybees and farm-raised fish who have losses due to an eligible adverse weather or eligible loss condition, including blizzards, disease (including cattle tick fever), water shortages and wildfires, as determined by the Secretary, that occurs on or after October 1, 2011.  ELAP covers losses that are not covered under the Livestock Forage Program (LFP), and Livestock Indemnity Program (LIP).","http://www.fsa.usda.gov/programs-and-services/disaster-assistance-program/emergency-assist-for-livestock-honey-bees-fish/index"
"24",24,"10.111","Tree Assistance Program-2014 Farm Bill","(TAP)","TAP provides financial assistance to eligible orchardists and nursery tree growers to replant or rehabilitate eligible trees, bushes, and vines damaged by natural disasters.","http://www.fsa.usda.gov/programs-and-services/disaster-assistance-program/tree-assistance-program/index"
"25",25,"10.112","Price Loss Coverage","(PLC)","The Price Loss Coverage program (PLC) is similar to the previous Direct and Counter-cyclical Payments Program (DCP) and the Average Crop Revenue Election (ACRE) which were repealed by P.L. 113-79. PLC provide revenue and price loss payments to eligible producers.","http://www.fsa.usda.gov"
"26",26,"10.113","Agriculture Risk Coverage Program","ARC","The ARC program is similar to the previous Direct and Counter-cyclical Payments Program (DCP) and the Average Crop Revenue Election (ACRE) which were repealed by P.L. 113-79.  ARC provides income support to eligible producers of covered commodities.","http://www.fsa.usda.gov/programs-and-services/arcplc_program/index"
"27",27,"10.114","Cotton Transition Assistance Program","(CTAP)","CTAP is a temporary program that provides payments to producers on farms for which cotton base acres were in existence as of September 30, 2013.","http://www.fsa.usda.gov/FSA/newsReleases?area=newsroom&subject=landing&topic=pfs&newstype=prfactsheet&type=detail&item=pf_20150706_insup_en_ctap.html"
"28",28,"10.115","Dairy Product Donation","(DPDP)","The Dairy Product Donation Program (DPDP) is designed to address low dairy producer margins, through periodic purchases of dairy products.  Funding will be provided by the Commodity Credit Corporation (CCC).  The purchase aspect of DPDP will be operated y the Secretary of Agriculture (Secretary) and for CCC by the Farm Service Agency (FSA) under the direction of the FSA's Deputy Administrator for Commodity Operations.  The distribution of products purchased through DPDP will be operated for the Secretary under the direction of the Food and Nutrition Service (FNS).","http://www.fsa.gov/programs-and-services/Dairy-MPP/index"
"29",29,"10.116","The Margin Protection Program","MPP-Dairy","MPP-Dairy offers a protection plan which provides payments to dairy operations when the difference between the all-milk price and the average feed cost falls below a certain, producer selected, dollar amount.  Producers will be eligible for a basic level of margin protection for a small administrative fee, and be able to purchase greater coverage for a premium.  The Secretary of Agriculture (Secretary) will use administrative fees collected to cover administrative costs incurred to carry out the margin protection program.","http://www.fsa.usda.gov/programs-and-services/Dairy-MPP/index"
"30",30,"10.117","Biofuel Infrastructure Partnership","Biofuel Infrastructure Partnership (BIP)","The objective of BIP is to expand infrastructure for renewable fuels, in order to increase the demand for ethanol, by offering competitive grants to States, the Commonwealth of Puerto Rico, and Washington, D.C.  Federal funds, matched with state and private contributions, will create innovative ways to distribute higher blends of renewable fuel.","http://origin2.www.fsa.usda.gov/programs-and-services/energy-programs/index"
"31",31,"10.118","Cotton Ginning Cost Share Program","CGCS","With respect to cotton ginning expenses for the 2015 cotton crop, the Cotton Ginning Cost-Share (CGCS) Program provides a one-time cost-share payment, not to exceed 40 percent of calculated ginning costs by region, to cotton producers certifying to the number of cotton acres reported as being planted, including failed acreage, for the 2015 crop year and the percentage of share they had in the cotton.","http://www.fsa.usda.gov/cgcs"
"32",32,"10.163","Market Protection and Promotion","","The Federal Seed Program prevents mislabeled seed from moving in interstate commerce by providing for random sampling of seeds to insure accurate labeling of seed characteristics.  The Plant Variety Protection Program offers legal protection to developers of new varieties of plants which reproduce by providing the equivalent of a patent to the plant's developer.  The Pesticide Data Program works with participating States to collect and analyze data on pesticide use and residue levels for selected commodities in the nation's food supply. This program provides statistically based data to Federal agencies for use in making policy decisions for regulatory and educational purposes.","http://www.ams.usda.gov"
"33",33,"10.153","Market News","","To provide timely and accurate information on prices, demand, movement, volume, and quality on all major U.S. agricultural commodities to state departments of agriculture.","http://www.ams.usda.gov"
"34",34,"10.155","Marketing Agreements and Orders","","Marketing Agreements and Orders are designed to stabilize market conditions and improve returns to producers through the establishment of minimum prices, regulating the quality and quantity of commodities sold through commercial channels, and providing market promotion.","http://www.ams.usda.gov"
"35",35,"10.156","Federal-State Marketing Improvement Program","","To assist in exploring new market opportunities for U.S. food and agricultural products and to encourage research and innovation aimed at improving the efficiency and performance of the U.S. marketing system.","http://www.ams.usda.gov/FSMIP"
"36",36,"10.162","Inspection Grading and Standardization","(Agricultural Fair Practices Act)","To develop and apply standards of quality and condition for agricultural commodities; to participate and assist in the development of international agricultural standards; and to conduct quarterly inspections of egg handlers and hatcheries.","http://www.ams.usda.gov"
"37",37,"10.164","Wholesale Farmers and Alternative Market Development","","To provide technical assistance to States and municipalities interested in creating or upgrading markets and marketing facilities.","http://www.ams.usda.gov"
"38",38,"10.165","Perishable Agricultural Commodities Act","","To reduce unfair and fraudulent practices in the marketing of perishable agricultural commodities in interstate and foreign commerce.  To prevent the destruction or dumping, without good and sufficient cause of farm produce received in interstate commerce by commission merchants and others and to require them truly and correctly to account for all farm produce received by them.","http://www.ams.usda.gov"
"39",39,"10.167","Transportation Services","","The Transportation Services program develops and promotes efficient agriculture transportation systems to help improve farm income, expand exports and meet the needs of rural America. The program provides technical and administrative direction, coordination, and leadership in the development and execution of agricultural transportation policies. Transportation Services provides a basis for Federal-State decision-makers in regulatory, policy and legislative matters in order to assure the transportation needs of rural communities and agriculture.","http://www.ams.usda.gov"
"40",40,"10.168","Farmers' Market and Local Food Promotion Program","","To increase domestic consumption of and access to locally and regionally produced agricultural products, and to develop new market opportunities for farm and ranch operations serving local markets, by developing, improving, expanding, and providing outreach, training, and technical assistance to, or assisting in the development, improvement, and expansion of domestic farmers markets, roadside stands, community-supported agriculture programs, agri-tourism activities and other direct producer-to-consumer market opportunities.","http://www.ams.usda.gov/FMPP"
"41",41,"10.170","Specialty Crop Block Grant Program - Farm Bill","","To solely enhance the competitiveness of specialty crops defined as fruits and vegetables, dried fruit, tree nuts, horticulture, and nursery crops (including floriculture). 

Specialty Crop Multi-State Program (SCMP) - To solely enhance the competitiveness of specialty crops by funding collaborative, multi-state projects on a competitive basis that address the following  regional or national level specialty crop issues: food safety, plant pests and disease, research, crop-specific projects addressing common issues, and marketing.","http://www.ams.usda.gov/scbgp"
"42",42,"10.171","Organic Certification Cost Share Programs","(AMA, NOCCSP)","The objective of this program is to provide financial assistance to certified organic producers and handlers.","https://www.ams.usda.gov/services/grants/occsp"
"43",43,"10.172","Local Food Promotion Program","","To increase domestic consumption of and access to locally and regionally produced agricultural products, and to develop new market opportunities for farm and ranch operations serving local markets, by developing, improving, expanding, and providing outreach, training, and technical assistance to, or assisting in the development, improvement, and expansion of local and regional food business enterprises (including those that are not direct producer-to-consumer markets). These businesses must process, distribute, aggregate, or store locally or regionally produced food products.","http://www.ams.usda.gov/lfpp"
"44",44,"10.173","Sheep Production and Marketing Grant Program","Sheep Production and Marketing Grant Program","The purpose of SPMGP is to develop projects that strengthen and enhance the production and marketing of sheep and sheep products in the United States, including through the improvement of infrastructure, business, resource development, and through the development of innovative approaches to solve long-term needs.","https://www.ams.usda.gov/services/grants/spmgp"
"45",45,"10.200","Grants for Agricultural Research, Special Research Grants","Special Research Grants (SRGP)","To carry out research, to facilitate or expand promising breakthroughs in areas of the food and agricultural sciences of importance to the nation and to facilitate or expand on-going State-Federal food and agricultural research programs.","http://nifa.usda.gov/grants"
"46",46,"10.202","Cooperative Forestry Research","McIntire-Stennis Cooperative Forestry Research Act (M/S) Program","The purpose of this funding is to increase forestry research in the production, utilization, and protection of forestland; to train future forestry scientists; and to involve other disciplines in forestry research.  Funding should also address the high priority issues described in the current M/S Strategic Plan: \x93Sustaining Healthy and Productive Forests: An Investment in America\x92s Competitive Position in the Global Marketplace\x94: (1) science of integration; (2)  forest ecosystem services; (3)  human attitudes and behaviors; (4)  conflict, uncertainty, and decision-making; (5)  technological advancements, productivity, and forest applications; and (6)  urban ecosystems.","http://nifa.usda.gov/program/mcintire-stennis-capacity-grant"
"47",47,"10.203","Payments to Agricultural Experiment Stations Under the Hatch Act","Hatch Act and The Hatch Act of 1887 aka
PAYMENTS TO AGRICULTURAL EXPERIMENT STATIONS UNDER THE HATCH ACT:
(A) \x96The Hatch Act of 1887 (Regular Research) 
(B) \x96 The Hatch Act of 1887 (Multistate Research Fund) ","To support agricultural research at State Agricultural Experiment Stations. Its purpose is to promote efficient production, marketing, distribution, and utilization of products of the farm as essential to the health and welfare of people and to promote a sound prosperous agriculture and rural life. Up to 25 percent (25%) of funds to be used for integrated cooperative research and extension activities. 

Two (2) Programs are funded under CFDA 10.203. Specific Objectives are as follows:
 
(A) The Hatch Act of 1887 (Regular Research) 
The Hatch Act of 1887 provides the basis for Federal funding for agricultural research activities at the State Agricultural Experiment Stations in the 50 States, the District of Columbia, and the Insular Areas.
State Agricultural Experiment Stations are eligible for funds appropriated under this Act according to the following formula: The previous year\x92s base plus the current year increase as follows: 
Three percent (3%) for Federal Administration, 
Twenty percent (20%) equally, 
Twenty-six percent (26%) in an amount which bears the same ratio to the total amount to be allotted as the rural population of the State bears to the total rural population of all the States as determined by the last preceding decennial census; 
Twenty-six percent (26%) t in an amount which bears the same ratio to the total amount to be allotted as the farm population of the State bears to the total farm population of all the States as determined by the last preceding decennial census. Twenty-five percent (25%)  for the Hatch Multistate Research Fund.

(B) The Hatch Act of 1887 (Multistate Research) 
Not less than twenty-five percent (25%) of the total Hatch Act of 1887 funding is allotted to the States for cooperative research employing multidisciplinary approaches in which a State agricultural experiment station, working with another State agricultural experiment station, the Agricultural Research Service, or a college or university, cooperates to solve problems that concern more than one (1) State. These funds are designated as the \x91\x91Multistate Research Fund, State Agricultural Experiment Stations.\x94 Funds are allocated on a prorata basis and allocations are adjusted to support national and regional projects. These projects and their associated budgets are reviewed and approved annually.

The 25 percent applies to any amounts appropriated above the level of funding in 1955 (the base year).","http://nifa.usda.gov/grants"
"48",48,"10.205","Payments to 1890 Land-Grant Colleges and Tuskegee University","Evans-Allen Research and/or Agricultural Research at 1890 Land-Grant Institutions, Including Tuskegee University, West Virginia State University and Central State University.","To support continuing agricultural research at colleges eligible to receive funds under the Act of August 30, 1890 (26 Stat. 417-419), as amended; 7 U.S.C. 321-326 and 328), including Tuskegee University, West Virginia State University and Central State University. Its purpose is to promote efficient production, marketing, distribution and utilization of products of the farm as essential to the health and welfare of people and to promote a sounds prosperous agriculture and rural life.","http://nifa.usda.gov/program/agricultural-research-1890-land-grant-institutions"
"49",49,"10.206","Grants for Agricultural Research_Competitive Research Grants","National Research Initiative Competitive Grants Program (NRI)","To support research, education and extension grants that address key problems of national, regional and multistate importance in sustaining all components of agriculture (farming, ranching, forestry, aquaculture, rural communities, human nutrition and obesity, food and fiber processing, etc.) Providing this support to US agriculture requires that the NRI advance fundamental. Building on these discoveries will necessitate new efforts in education and extension that deliver science-based knowledge to people, allowing them to make informed practical decisions. All grants were awarded on a competitive basis.","http://nifa.usda.gov"
"50",50,"10.207","Animal Health and Disease Research","(AHDR)","The purpose of this funding is to increase animal health and disease research activities at accredited State veterinary schools or colleges or agricultural experiment stations that conduct animal health and disease research.  To support animal health and disease research at eligible Schools and Colleges of Veterinary Medicine, and State Agricultural Experiment Stations whose purpose is to improve the health and productivity of food animals and horses through effective prevention, control or treatment of disease, reduction of losses from transportation and other hazards, and protect human health through control of animal diseases transmissible to people.","http://nifa.usda.gov/program/animal-health-research-and-disease-program"
"51",51,"10.210","Higher Education \x96 Graduate Fellowships Grant Program","Institution Challenge, Multicultural Scholars & Graduate Fellowships Grant Program (Graduate Fellowships)

[Formerly: National Needs Fellowship (NFF)]","The purpose of the NNF Grants Program is to train students for Master\x92s and/or doctoral degrees and provide additional postdoctoral training for Fellows who have completed their doctoral degrees at colleges and universities that have demonstrable teaching and research competencies in the food and agricultural sciences. Fellowships and IRTA awards are specifically intended to support traineeship programs that encourage outstanding students to pursue and complete their degrees or obtain postdoctoral training in areas where there is a national need for the development of scientific and professional expertise in the food and agricultural sciences.  Fellowships and IRTA awards invest in graduate training and relevant international experiential learning for a cadre of diverse individuals who demonstrate their potential to successfully complete graduate degree programs in disciplines relevant to the mission of the USDA.","http://nifa.usda.gov/program/national-needs-graduate-and-postgraduate-fellowship-grants-program-funding-opportunity-nnf"
"52",52,"10.212","Small Business Innovation Research","(SBIR Program - Phase I and II)","To stimulate technological innovation in the private sector, strengthen the role of small businesses in meeting Federal research and development needs, increase private sector commercialization of innovations derived from USDA-supported research and development efforts, and foster and encourage participation, by women-owned and socially disadvantaged small business firms in technological innovation.","http://nifa.usda.gov/grants"
"53",53,"10.215","Sustainable Agriculture Research and Education","(SARE)","The purpose of the Sustainable Agriculture Research and Education Program (SARE) program is to encourage research designed to increase our knowledge concerning agricultural production systems that: (1) maintain and enhance the quality and productivity of the soil; (2) conserve soil, water, energy, natural resources, and fish and wildlife habitat; (3) maintain and enhance the quality of surface and ground water; (4) protect the health and safety of persons involved in the food and farm system; (5) promote the well being of animals; and (6) increase employment opportunities in agriculture (section 1619-1624 of the Food, griculture, Conservation and Trade Act of 1990 (FACTA), Public Law 101-624 (7 U.S.C. 5801).  The request for applications (RFA) is for the regional SARE host institutions to apply for funds to carry out the regional SARE programs under the direction of the SARE Regional Administrative Councils (section 1622 of FACTA (7 U.S.C. 5812)), and for selected national projects.  Most SARE competitive grants are made by the SARE regions as subawards. Typically, approximately 85% of the award to a SARE regional host institution is used for subawards.  Individuals and organizations interested in applying for SARE competitive grants should NOT respond to this funding opportunity; rather they should apply to the appropriate SARE regional program. (See http://www.nifa.usda.gov/fo/sustainableagricultureresearchandeducation.cfm ).","http://nifa.usda.gov/program/sustainable-agriculture-program"
"54",54,"10.216","1890 Institution Capacity Building Grants","1890 Capacity (CBG)","To build the research and teaching capacities of the 1890 land-grant institutions and Tuskegee University through cooperative programs with Federal and nonfederal entities.","http://nifa.usda.gov/program/1890-land-grant-institutions-programs"
"55",55,"10.217","Higher Education - Institution Challenge Grants Program","Institution Challenge, Multicultural Scholars & Graduate Fellowships Grant Program (Institution Higher Education Challenge)
[Formerly: Challenge or HEC Grants]","To increase institutional capacities to respond to State, regional, national, or international educational needs by strengthening college and university teaching programs in the food and agricultural sciences.","http://nifa.usda.gov/program/higher-education-challenge-grants-program"
"56",56,"10.219","Biotechnology Risk Assessment Research","(BRAG)","The purpose of the BRAG program is to assist Federal regulatory agencies in making science-based decisions about the effects of introducing into the environment genetically engineered organisms, including plants, microorganisms (including fungi, bacteria, and viruses), arthropods, fish, birds, mammals and other animals excluding humans. Investigations of effects on both managed and natural environments are relevant. The BRAG program accomplishes its purpose by providing Federal regulatory agencies with scientific information relevant to regulatory considerations derived from the risk assessment research that the program funds.","http://nifa.usda.gov/program/biotechnology-risk-assessment-research-grants-program"
"57",57,"10.220","Higher Education - Multicultural Scholars Grant Program","Institution Challenge, Multicultural Scholars & Graduate Fellowships Grant Program (Multicultural Scholars)

[Formerly: Minority Scholars Program]","To increase the ethnic and cultural diversity of the food and agricultural scientific and professional work force, and to advance the educational achievement of minority Americans, by providing grants to colleges and universities that have a demonstrable capacity to attract, educate, and graduate minority students for careers as agriscience and agribusiness professionals, and have unique capabilities for achieving the objective of full representation of minority groups in the fields of agriculture, natural resources, forestry, veterinary medicine, home economics, and disciplines closely allied to the food and agricultural system.","http://nifa.usda.gov/program/higher-education-multicultural-scholars-program-msp"
"58",58,"10.221","Tribal Colleges Education Equity Grants","Higher Education Native American Formula and/or Higher Education Native American Institutions","This grants program is designed to promote and strengthen higher education instruction in the food and agricultural sciences at the 34 Tribal Colleges designated as 1994 Land-Grant Institutions in the Equity in Educational Land-Grant Status Act of 1994, as amended. Plans of Work should focus on undergraduate and/or graduate studies in the food and agricultural sciences in one or more of the following areas: Curricula Design and Materials Development, Faculty Development and Preparation for Teaching, Instruction Delivery Systems, Student Experiential Learning, Equipment and Instrumentation for Teaching, or Student Recruitment and Retention. 

The purpose of the TCEG Program is to provide funding to enhance educational opportunities for Native Americans in the food and agricultural sciences.  The TCEG program is intended to strengthen institutional capacity to deliver relevant formal education opportunities.  The TCEG is intended to be a component of the applicant 1994 institution\x92s land grant roadmap or strategic planning process.  To the extent practicable, priorities should reflect the following national critical needs areas: 
1.  Sustainable energy
2.  Global food security and hunger
3.  Climate change
4.  Nutrition and preventing childhood obesity
5.  Food safety
6.  Sustainable rural economies

Awards are made upon approval of each institution\x92s application for a grant that relate to an institution\x92s long-range goals.  As indicated in Part 1, C. of the RFA, an application may address one (1) or more of the following program areas:
	Curricula Design and Materials Development
	Faculty Development and Preparation for Teaching
	Instruction Delivery Systems
	Student Experiential Learning
	Equipment and Instrumentation for Teaching
	Student Recruitment and Retention

Recognizing that strengthening instructional programs is a long-term ongoing process, the TCEG program is interested in funding subsequent phases of previously funded projects in order to strengthen institutional capacity, and institutions are encouraged to build on a theme over several grant awards to reach institutional long-range goals.","http://nifa.usda.gov/program/tribal-equity-grants-program"
"59",59,"10.222","Tribal Colleges Endowment Program","Tribal Colleges Endowment Interest Program
aka 1994 Institutions Endowment Interest Program","To enhance educational opportunities at the thirty-four (34) Land Grant Institutions by strengthening their teaching programs in the food and agricultural sciences in targeted need areas. 

The legislation designates that the interest from the endowment funds benefit the 1994 land-Grant institutions by supporting teaching programs in the food and agricultural sciences in the target areas of: 
1)  Curricula design and instructional materials
2)  Faculty development and preparation for teaching
3)  Instruction delivery systems
4)  Student experiential learning
5)  Equipment & instrumentation for teaching
6)  Student recruitment and retention

Additionally, endowment funds released on or after October 1, 2001, also may be used for facility renovation, repair, construction and maintenance to support teaching programs in the food and agriculture sciences in addition to the above six (6) areas, to support the land-grant mission.","http://nifa.usda.gov/program/tribal-college-endowment-program"
"60",60,"10.223","Hispanic Serving Institutions Education Grants","HSI Grants","The objective of this program is to promote and strengthen the ability of Hispanic-Serving Institutions to carry out higher education programs in the food and agricultural sciences.  These programs aim to attract outstanding students and produce graduates capable of enhancing the Nation's food and agricultural scientific and professional work force.  Grants under this program will be awarded to:  

(1)  support the activities of consortia of Hispanic-Serving Institutions to enhance educational equity for underrepresented students;  

(2)  strengthen institutional educational capacities including libraries, curriculum, faculty, scientific instrumentation, instruction delivery systems, and student recruitment and retention, in order to respond to identified State, regional, national, or international educational needs in the food and agricultural sciences; 

(3)  attract and support undergraduate and graduate students from underrepresented groups in order to prepare them for careers related to the food, agricultural, and natural resource systems of the United States, beginning with the mentoring of students at the high school level and continuing with the provision of financial support for students through their attainment of a doctoral degree; and 

(4) facilitate cooperative initiatives between two or more Hispanic-Serving Institutions, or between Hispanic-Serving Institutions and units of State government or the private sector, to maximize the development and use of resources, such as faculty, facilities, and equipment, to improve food and agricultural sciences teaching programs.","http://nifa.usda.gov/program/hispanic-serving-institutions-education-grants-program"
